Amount of ligand (mol %),Amount of base (eq.),Frequency (Hz),Temperature(C),Time (h),NMR yield (%),Current type,HOMO_R1,LUMO_R1,MU_R1,HOMO_R2,LUMO_R2,MU_R2,HOMO_SOLV,LUMO_SOLV,MU_SOLV,HOMO_BASE,LUMO_BASE,MU_BASE,HOMO_LIGAND,LUMO_LIGAND,MU_LIGAND,HOMO_ELECTR,LUMO_ELECTR,MU_ELECTR
10.0,10.0,2.0,60,4,89,0,-7.083,-1.853,1.97481,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,65,0,-7.347,-2.067,3.16853,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,79,0,-6.265,-1.627,2.02474,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
15.0,0.0,5.0,20,2,47,1,-6.827,-0.803,1.82406,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,66,1,-7.332,-1.56,1.37144,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
15.0,0.0,2.0,20,4,45,1,-6.449,-0.759,3.24055,-6.245,0.508,1.62684,-6.692,0.203,3.98497,0.0,0.0,0.0,-6.403,-1.507,0.00399,-6.465,-1.674,7.1782
10.0,2.0,2.0,20,8,26,1,-7.332,-1.56,1.37144,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,2.0,10.0,20,8,29,1,-7.179,-1.412,2.05234,-7.492,0.38,1.83414,-6.91,0.221,4.17532,-5.624,0.395,1.07275,-6.611,-1.073,0.00068,-6.465,-1.674,7.1782
10.0,10.0,2.0,60,4,13,1,-7.332,-1.56,1.37144,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,23,1,-7.347,-2.067,3.16853,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
10.0,10.0,2.0,60,4,4,1,-6.265,-1.627,2.02474,-6.767,-0.251,2.48091,-6.692,0.203,3.98497,-8.523,-0.286,0.31923,-6.611,-1.073,0.00068,-8.426,0.34,15.23556
